node_id,pagerank,community
David R. Ellis,2.1025435554644094,5010
Adam Green,2.1025435554644094,2606
Todd Solondz,2.1025435554644094,2794
Alexander Payne,2.101634736131031,2163
Brian Robbins,2.0914387297810744,3395
Rob Minkoff,2.090912092969442,3123
Ben Stiller,2.0739971479999073,3589
Jake Kasdan,2.060034346319558,4666
John Woo,2.0597970233146,3368
J.C. Chandor,2.0402787305934655,3123
James Wong,2.0338259913561076,1808
Kevin Reynolds,2.028043026852565,5222
Catherine Hardwicke,2.0235408763147,5181
Anton Corbijn,2.021821558778969,3212
Lee Tamahori,2.0206492272555816,1220
Daniel Espinosa,2.0146844682270104,1426
Alejandro G. Iñárritu,2.0130559730167277,3395
Jonathan Mostow,2.0082609457436806,3212
Jonathan Levine,2.004180642499537,3433
Paul Verhoeven,2.001602493836446,1292
Scott Stewart,1.9873784754264987,1280
Jordan Peele,1.9860982456510463,2132
Jaume Collet-Serra,1.9840162904957146,3624
Les Mayfield,1.9831498356588801,4948
Steve McQueen,1.9765363248129928,3059
Derek Cianfrance,1.9762522069896191,1280
John Erick Dowdle,1.9667229361922751,3663
Peter Berg,1.9641758717241746,4705
Scott Cooper,1.9597840556015764,5033
Judd Apatow,1.9582327850001156,4685
Iain Softley,1.9536762906780936,1220
Herbert Ross,1.9522886019263133,4705
John Landis,1.9490659580902876,3578
Walter Hill,1.9467241783814209,1351
Tom Hooper,1.9419185827681598,5034
Terry Gilliam,1.9366315202008098,3059
John Stockwell,1.9344738452315648,4948
James Gray,1.9301775632338882,3163
Frank Coraci,1.92708858391387,2666
Roger Kumble,1.9260487348863757,4663
Scott Hicks,1.9153226185400987,4903
David Slade,1.9140329686535933,4663
Kathryn Bigelow,1.9032867217560219,5034
Joss Whedon,1.8964337668058662,3395
Ron Shelton,1.893696829038077,1808
John Moore,1.8883791112669706,5181
Christopher McQuarrie,1.8863084283089957,2666
Harold Ramis,1.8857167609173733,2163
David Koepp,1.8839658583948702,3478
Baran bo Odar,1.88158364668115,1292
David Twohy,1.8811318171718852,5181
Stephen Gaghan,1.876049042502928,4948
George P. Cosmatos,1.872479711189519,3212
Gus Van Sant,1.862337664563246,1292
Luc Besson,1.856368322684007,5034
Emile Ardolino,1.8513576266710325,3589
